                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3481,                 5.5312,                 3.8068,                0.00011,                0.01591,                  6e-05,                  1e-05,                 4.8753,                  5.449,                 4.2032,             0.00064957,             0.00064957,             0.00064957
                      2,                 2.2778,                 1.9593,                 1.8931,                0.00013,                0.00734,                  6e-05,                  1e-05,                 4.6664,                 4.6048,                 4.1571,              0.0012511,              0.0012511,              0.0012511
                      3,                 1.9504,                 1.5322,                 1.5503,                0.60887,                0.41232,                0.44541,                0.16155,                 2.9855,                 2.2076,                 2.8789,              0.0017866,              0.0017866,              0.0017866
                      4,                 1.7289,                   1.27,                 1.3531,                0.74115,                0.46825,                0.53012,                0.17583,                 2.9058,                 2.3473,                 2.7952,               0.001703,               0.001703,               0.001703
                      5,                 1.6989,                  1.168,                 1.3204,                 0.6031,                0.45188,                0.42215,                0.11322,                 3.0776,                 2.3497,                  3.298,               0.001604,               0.001604,               0.001604
                      6,                 1.6313,                 1.0785,                 1.2632,                0.65792,                0.53651,                 0.5219,                0.13767,                 3.0024,                 1.7212,                 3.0054,               0.001505,               0.001505,               0.001505
                      7,                 1.5607,                 1.0033,                 1.2371,                0.72999,                0.49388,                0.54796,                0.19167,                 2.8098,                 2.0506,                 2.6752,               0.001406,               0.001406,               0.001406
                      8,                 1.5245,                0.94242,                 1.2049,                0.69982,                0.43475,                0.47205,                0.16884,                 2.9265,                  2.483,                 2.6802,               0.001307,               0.001307,               0.001307
                      9,                 1.4911,                0.91221,                 1.1784,                0.73278,                0.53711,                0.57228,                0.18025,                  2.892,                 1.8089,                 2.8588,               0.001208,               0.001208,               0.001208
                     10,                 1.4539,                0.85397,                 1.1717,                0.62777,                0.48613,                0.48472,                0.16131,                   2.98,                 1.9713,                 2.9692,               0.001109,               0.001109,               0.001109
                     11,                 1.4763,                0.92004,                 1.2396,                0.73779,                0.45759,                 0.5055,                0.19077,                 2.9758,                  2.145,                 2.7647,                0.00101,                0.00101,                0.00101
                     12,                 1.4045,                0.82668,                 1.1988,                0.73092,                0.50073,                0.54776,                 0.1889,                  2.967,                 2.0871,                 2.7928,               0.000911,               0.000911,               0.000911
                     13,                 1.4252,                0.79538,                 1.2121,                0.74177,                0.51346,                0.56172,                0.21171,                 2.7952,                 2.0377,                 2.7977,               0.000812,               0.000812,               0.000812
                     14,                  1.368,                0.77879,                 1.1803,                0.65555,                0.41517,                 0.4342,                0.17006,                 2.9911,                 2.5547,                  2.786,               0.000713,               0.000713,               0.000713
                     15,                 1.3473,                0.76316,                  1.159,                0.73633,                0.49657,                0.55219,                 0.2108,                  2.877,                 2.2828,                 2.6393,               0.000614,               0.000614,               0.000614
                     16,                 1.3432,                0.73532,                 1.1502,                0.69618,                0.47308,                0.53051,                0.18804,                 2.8541,                 2.2189,                 2.6282,               0.000515,               0.000515,               0.000515
                     17,                 1.3124,                0.70723,                 1.1508,                 0.7149,                0.47961,                0.53867,                0.19484,                 2.8747,                 2.1498,                 2.6271,               0.000416,               0.000416,               0.000416
                     18,                 1.3015,                 0.7058,                 1.1366,                0.71271,                0.47471,                0.52146,                0.18347,                 2.9378,                 2.3171,                 2.6568,               0.000317,               0.000317,               0.000317
                     19,                 1.2895,                0.67744,                 1.1335,                0.72873,                0.52447,                0.57756,                0.20528,                 2.8142,                 2.0547,                 2.6305,               0.000218,               0.000218,               0.000218
                     20,                 1.2815,                 0.6692,                 1.1284,                0.70532,                0.48083,                0.53499,                0.20337,                   2.88,                 2.2512,                 2.6051,               0.000119,               0.000119,               0.000119
