                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8805,                 4.9542,                 3.2509,                0.00012,                0.01713,                  6e-05,                  1e-05,                 4.9609,                 4.5752,                 4.1979,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.0819,                 1.8128,                 1.7063,                0.67697,                0.43352,                0.45452,                0.13424,                 3.1458,                 2.3294,                 3.0348,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8144,                 1.4085,                 1.4607,                0.63062,                0.46574,                0.49312,                0.16916,                 2.8843,                 2.4049,                 3.0533,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.6836,                 1.2377,                 1.3193,                0.73275,                0.48753,                0.53398,                0.19207,                  2.898,                 2.4163,                 2.8698,               0.001703,               0.001703,               0.001703
                      5,                 1.6391,                 1.1368,                 1.2888,                0.73526,                0.51101,                0.55679,                0.19242,                 2.8837,                 2.2739,                 2.7971,               0.001604,               0.001604,               0.001604
                      6,                 1.5674,                 1.0745,                 1.2444,                  0.703,                 0.4508,                0.47701,                0.17199,                 2.9094,                 2.3455,                 2.7789,               0.001505,               0.001505,               0.001505
                      7,                 1.5779,                 1.0086,                 1.2262,                0.53555,                0.49307,                0.35333,                0.12304,                 2.8665,                 2.5161,                 2.8848,               0.001406,               0.001406,               0.001406
                      8,                 1.5346,                 1.0124,                 1.2347,                0.69378,                0.47585,                0.47991,                0.16681,                  2.928,                 2.4097,                 2.7593,               0.001307,               0.001307,               0.001307
                      9,                 1.4657,                 0.9467,                 1.1966,                   0.72,                0.50129,                0.53746,                0.18305,                 2.9013,                 2.2786,                 2.6834,               0.001208,               0.001208,               0.001208
                     10,                 1.4737,                0.89693,                 1.1764,                0.65468,                0.48401,                 0.4667,                0.16272,                 2.8204,                  2.237,                 2.7879,               0.001109,               0.001109,               0.001109
                     11,                 1.4176,                0.91511,                 1.2049,                0.71755,                0.50979,                0.54349,                0.19467,                 2.8949,                 2.2641,                 2.9674,                0.00101,                0.00101,                0.00101
                     12,                 1.3943,                0.84148,                 1.1786,                0.65708,                 0.5228,                0.53825,                0.17877,                 2.8567,                 1.9066,                 2.8826,               0.000911,               0.000911,               0.000911
                     13,                 1.3453,                0.78769,                 1.1794,                0.51151,                0.52732,                0.36685,                0.12006,                 2.8659,                 2.5788,                 3.1583,               0.000812,               0.000812,               0.000812
                     14,                 1.3357,                0.79702,                 1.1609,                0.68373,                0.50697,                0.55542,                0.18115,                 2.8462,                 1.8442,                   2.82,               0.000713,               0.000713,               0.000713
                     15,                 1.3263,                0.76188,                 1.1549,                0.70878,                 0.4953,                0.54808,                0.20481,                 2.7609,                 2.1242,                 2.7414,               0.000614,               0.000614,               0.000614
                     16,                  1.301,                0.73303,                 1.1378,                0.71886,                0.51876,                0.53892,                0.18252,                 2.8289,                  2.052,                 2.7639,               0.000515,               0.000515,               0.000515
                     17,                 1.2707,                0.71429,                 1.1341,                 0.7591,                0.50734,                0.56203,                0.18399,                  2.898,                 2.0607,                 2.7166,               0.000416,               0.000416,               0.000416
                     18,                 1.2925,                0.69551,                 1.1292,                0.70955,                 0.4894,                0.55208,                 0.1948,                 2.8761,                 2.0874,                 2.7161,               0.000317,               0.000317,               0.000317
                     19,                 1.2696,                0.67943,                 1.1296,                0.73816,                0.49225,                0.55957,                0.18709,                 2.8419,                  2.179,                 2.6661,               0.000218,               0.000218,               0.000218
                     20,                 1.2476,                0.66864,                 1.1099,                0.73453,                0.51509,                0.57224,                0.19102,                 2.8343,                 1.9832,                 2.7173,               0.000119,               0.000119,               0.000119
