                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8204,                 4.6411,                 3.2673,                0.00013,                0.01754,                  7e-05,                  1e-05,                 4.9236,                  4.525,                 4.2058,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.0881,                 1.7975,                   1.67,                0.68967,                  0.427,                 0.4626,                0.13118,                 3.0186,                 2.2706,                 3.2014,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8185,                 1.4199,                  1.443,                0.67085,                0.46778,                0.50347,                0.17181,                 2.7924,                 2.2238,                  2.767,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.6761,                 1.2294,                 1.3051,                0.63412,                0.42292,                0.44822,                0.15217,                  3.027,                 2.3448,                 2.8981,               0.001703,               0.001703,               0.001703
                      5,                  1.627,                 1.1707,                 1.2784,                0.75709,                0.51183,                0.57273,                0.19924,                 2.7809,                 1.9548,                 2.7456,               0.001604,               0.001604,               0.001604
                      6,                 1.5559,                 1.0583,                 1.2367,                0.68619,                0.50856,                0.54365,                 0.1846,                 2.8369,                  1.843,                 2.7883,               0.001505,               0.001505,               0.001505
                      7,                 1.5718,                 1.0068,                  1.221,                0.76113,                0.51264,                0.55873,                0.20337,                 2.7225,                 2.0043,                 2.5734,               0.001406,               0.001406,               0.001406
                      8,                 1.5457,                   1.01,                 1.2369,                 0.6875,                0.47145,                0.48512,                0.16223,                 3.0018,                 2.2323,                 2.7985,               0.001307,               0.001307,               0.001307
                      9,                 1.4501,                 0.9149,                 1.1895,                0.76736,                 0.5469,                0.61598,                0.20689,                 2.7212,                 2.0005,                 2.5828,               0.001208,               0.001208,               0.001208
                     10,                 1.4645,                 0.8666,                 1.1703,                0.70288,                 0.4792,                0.52554,                0.19443,                 2.8071,                  2.202,                 2.6015,               0.001109,               0.001109,               0.001109
                     11,                 1.4265,                 0.9002,                 1.2044,                0.74798,                0.54731,                 0.5936,                0.20928,                 2.7675,                 2.0709,                 2.5984,                0.00101,                0.00101,                0.00101
                     12,                 1.3878,                 0.8339,                 1.1778,                0.65426,                0.51346,                 0.5461,                0.19475,                 2.7803,                 1.9066,                 2.6758,               0.000911,               0.000911,               0.000911
                     13,                 1.3467,                0.77754,                 1.1773,                0.72926,                0.53938,                0.58889,                0.20402,                  2.796,                 1.8589,                 2.6082,               0.000812,               0.000812,               0.000812
                     14,                 1.3319,                0.77128,                 1.1571,                0.77172,                0.51305,                0.59568,                0.21668,                 2.7402,                 1.8468,                 2.5817,               0.000713,               0.000713,               0.000713
                     15,                  1.329,                0.74522,                 1.1535,                0.75012,                0.53059,                0.60624,                0.21827,                 2.7245,                 1.9678,                 2.5717,               0.000614,               0.000614,               0.000614
                     16,                 1.3042,                0.72564,                 1.1382,                0.71741,                0.51457,                0.57157,                0.20455,                 2.8368,                 2.0313,                 2.6507,               0.000515,               0.000515,               0.000515
                     17,                 1.2723,                0.69723,                 1.1316,                0.71426,                 0.5208,                0.56455,                0.18785,                 2.8217,                 1.9238,                  2.641,               0.000416,               0.000416,               0.000416
                     18,                 1.2838,                0.69006,                 1.1265,                0.70775,                0.50367,                0.55234,                0.18924,                 2.8669,                  1.984,                 2.6954,               0.000317,               0.000317,               0.000317
                     19,                 1.2619,                0.66464,                  1.129,                0.71443,                0.51831,                0.56758,                0.18926,                 2.8248,                 2.0463,                 2.6236,               0.000218,               0.000218,               0.000218
                     20,                 1.2443,                0.65309,                 1.1105,                0.72626,                0.52695,                0.58356,                  0.202,                 2.8097,                 1.9466,                 2.6411,               0.000119,               0.000119,               0.000119
