                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.938,                 4.8609,                 3.4391,                0.00012,                0.01672,                  6e-05,                  1e-05,                 5.0063,                 5.9795,                 4.2312,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.1786,                  1.898,                 1.7722,                 0.3541,                0.34502,                0.18758,                0.04484,                 3.3501,                 3.2831,                 3.4757,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8395,                 1.4413,                 1.4682,                0.57094,                0.46182,                0.45149,                0.16935,                 2.8426,                 2.2831,                 3.0123,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7133,                 1.2362,                 1.3343,                0.75173,                0.50163,                0.54893,                0.17851,                 2.9359,                 2.2383,                 2.9165,               0.001703,               0.001703,               0.001703
                      5,                 1.6408,                 1.1392,                 1.2959,                0.67598,                 0.4586,                 0.5033,                0.19173,                 2.8672,                 2.2745,                 2.7358,               0.001604,               0.001604,               0.001604
                      6,                 1.5824,                  1.054,                 1.2545,                0.74809,                0.47718,                 0.5462,                0.19744,                 2.8938,                 2.1412,                 2.7833,               0.001505,               0.001505,               0.001505
                      7,                 1.5918,                  0.978,                 1.2362,                0.76602,                0.50856,                0.57374,                0.19039,                 2.9323,                 1.8188,                 3.0061,               0.001406,               0.001406,               0.001406
                      8,                 1.5599,                 1.0118,                 1.2469,                0.70336,                0.46319,                0.50919,                0.19583,                 2.9615,                 2.3556,                 2.7995,               0.001307,               0.001307,               0.001307
                      9,                 1.4783,                0.93512,                 1.2029,                 0.6569,                0.50204,                0.53234,                 0.1698,                 2.8815,                 2.0925,                 2.8677,               0.001208,               0.001208,               0.001208
                     10,                 1.4739,                0.88781,                 1.1803,                0.71567,                0.42414,                0.47542,                0.18012,                 3.0653,                 2.7261,                 2.6972,               0.001109,               0.001109,               0.001109
                     11,                 1.4495,                0.90614,                 1.2216,                0.68535,                0.44698,                0.48025,                0.17483,                 2.9938,                 2.5367,                  2.959,                0.00101,                0.00101,                0.00101
                     12,                 1.4208,                0.84584,                  1.195,                 0.7048,                0.40311,                0.45811,                 0.1731,                 3.0668,                 2.5102,                 2.8074,               0.000911,               0.000911,               0.000911
                     13,                 1.3695,                0.79109,                 1.1905,                0.64462,                0.47838,                0.51434,                0.19486,                 2.9473,                  2.195,                 2.9028,               0.000812,               0.000812,               0.000812
                     14,                 1.3722,                0.78737,                 1.1767,                0.68794,                0.48083,                0.52731,                0.19923,                 2.9434,                 2.2795,                 2.7626,               0.000713,               0.000713,               0.000713
                     15,                 1.3645,                0.75904,                 1.1703,                0.70533,                 0.4531,                0.53066,                0.18658,                 2.9026,                 2.2802,                  2.792,               0.000614,               0.000614,               0.000614
                     16,                 1.3515,                0.73485,                 1.1551,                0.69228,                 0.4661,                 0.5206,                0.19037,                 2.9685,                 2.3758,                 2.7091,               0.000515,               0.000515,               0.000515
                     17,                 1.3009,                0.71602,                 1.1456,                0.71436,                0.47471,                0.52956,                0.18294,                 2.9249,                 2.2061,                 2.7416,               0.000416,               0.000416,               0.000416
                     18,                 1.3038,                0.70268,                 1.1361,                0.67223,                0.44005,                0.50335,                0.18339,                 2.9126,                 2.4083,                 2.7478,               0.000317,               0.000317,               0.000317
                     19,                 1.2917,                0.68361,                 1.1407,                0.68865,                0.43067,                0.49869,                0.17675,                 2.9356,                 2.4849,                 2.7888,               0.000218,               0.000218,               0.000218
                     20,                  1.265,                0.66415,                 1.1192,                0.69856,                0.46044,                0.51096,                0.18537,                 2.9726,                 2.3546,                 2.7848,               0.000119,               0.000119,               0.000119
