                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0721,                 5.6174,                 3.5739,                0.00012,                0.01672,                  6e-05,                  1e-05,                  4.971,                 5.5567,                 4.1893,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.2394,                 2.0222,                 1.8549,                0.64923,                0.37276,                0.39048,                0.11621,                 3.1386,                   2.63,                 3.1155,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.9008,                 1.5358,                 1.5266,                0.57942,                 0.4221,                0.43645,                0.16112,                 2.9291,                 2.5838,                 3.0796,              0.0017943,              0.0017943,              0.0017943
                      4,                  1.759,                 1.3355,                 1.3732,                0.56813,                 0.4429,                0.36911,                0.13337,                 2.8851,                  2.425,                 3.4771,               0.001703,               0.001703,               0.001703
                      5,                 1.6663,                 1.2192,                 1.3192,                0.69959,                0.41925,                0.46313,                0.18587,                 2.8881,                 2.4274,                 2.7303,               0.001604,               0.001604,               0.001604
                      6,                 1.6081,                  1.145,                 1.2703,                0.68778,                0.49225,                0.54378,                0.17426,                 2.9341,                 1.8965,                 2.8902,               0.001505,               0.001505,               0.001505
                      7,                 1.5965,                 1.0643,                 1.2482,                 0.7097,                0.47308,                0.51796,                0.18755,                 2.8853,                 2.1297,                 2.8056,               0.001406,               0.001406,               0.001406
                      8,                 1.5625,                 1.0756,                 1.2522,                0.68769,                0.43556,                0.47352,                0.16995,                 2.9556,                 2.6977,                 2.7885,               0.001307,               0.001307,               0.001307
                      9,                 1.4811,                 0.9869,                 1.2137,                0.68206,                0.50816,                0.53747,                0.18371,                 2.9078,                 2.0462,                 2.8226,               0.001208,               0.001208,               0.001208
                     10,                 1.4766,                0.92917,                 1.1873,                 0.7028,                0.48027,                0.52038,                 0.1917,                 2.9178,                 2.2526,                 2.7371,               0.001109,               0.001109,               0.001109
                     11,                 1.4383,                0.96313,                 1.2238,                0.68495,                0.50008,                0.53527,                0.18982,                 2.8592,                 2.1855,                 2.9202,                0.00101,                0.00101,                0.00101
                     12,                  1.409,                0.87851,                  1.195,                0.69494,                0.51099,                0.54847,                0.18759,                 2.9019,                 1.9359,                 2.8835,               0.000911,               0.000911,               0.000911
                     13,                  1.366,                 0.8295,                 1.1916,                0.74838,                0.55424,                0.59782,                0.20294,                 2.9211,                 1.8437,                 2.9054,               0.000812,               0.000812,               0.000812
                     14,                 1.3544,                0.82269,                 1.1757,                0.70821,                0.47838,                0.52747,                0.19506,                 2.9164,                 2.1542,                 2.7545,               0.000713,               0.000713,               0.000713
                     15,                 1.3567,                0.78444,                 1.1722,                0.74528,                0.52732,                 0.5954,                0.22347,                 2.7857,                 2.0072,                 2.7386,               0.000614,               0.000614,               0.000614
                     16,                 1.3314,                0.77411,                 1.1544,                0.71434,                0.53956,                0.57827,                0.18753,                 2.8905,                  1.833,                  2.866,               0.000515,               0.000515,               0.000515
                     17,                 1.3059,                0.74675,                  1.153,                0.72924,                0.50693,                0.55857,                0.19067,                 2.9322,                 2.0636,                 2.7424,               0.000416,               0.000416,               0.000416
                     18,                 1.2994,                0.72642,                 1.1389,                0.68079,                0.48246,                0.53869,                0.18829,                 2.8966,                 2.0812,                 2.7492,               0.000317,               0.000317,               0.000317
                     19,                 1.2792,                0.70527,                 1.1432,                0.69808,                0.49318,                0.54938,                0.18652,                 2.9193,                 2.0835,                 2.7591,               0.000218,               0.000218,               0.000218
                     20,                 1.2594,                0.68944,                 1.1226,                0.70299,                0.51468,                0.55904,                0.19287,                 2.9195,                 2.0339,                 2.7531,               0.000119,               0.000119,               0.000119
