                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0046,                 5.1093,                  3.605,                0.00013,                0.01754,                  7e-05,                  2e-05,                 4.9029,                 4.4173,                 4.1718,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.1824,                 1.9754,                  1.788,                0.34173,                0.37398,                0.19199,                0.05181,                 3.2262,                 2.9173,                 3.3936,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8394,                 1.5047,                 1.4826,                0.26955,                0.44878,                0.24597,                0.09803,                 2.7006,                 3.1153,                 3.4202,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7359,                 1.3211,                 1.3486,                0.56901,                0.50204,                0.38622,                 0.1349,                 2.7316,                 2.5283,                 2.8591,               0.001703,               0.001703,               0.001703
                      5,                 1.6606,                  1.196,                 1.3066,                0.72658,                0.47757,                0.53187,                0.19531,                 2.7546,                 2.3193,                 2.7632,               0.001604,               0.001604,               0.001604
                      6,                 1.5867,                 1.1039,                 1.2587,                0.76314,                0.49225,                0.55527,                0.20004,                 2.8404,                 2.0984,                 2.7883,               0.001505,               0.001505,               0.001505
                      7,                 1.5986,                 1.0244,                 1.2376,                0.43419,                0.51294,                0.29739,                 0.0947,                 2.7686,                 2.4481,                 2.9896,               0.001406,               0.001406,               0.001406
                      8,                 1.5018,                 1.0306,                 1.2236,                0.69633,                0.43391,                0.47801,                0.17732,                 2.8273,                 2.5105,                 2.8447,               0.001307,               0.001307,               0.001307
                      9,                  1.484,                0.97903,                 1.2016,                0.55754,                0.52692,                0.43261,                0.13535,                 2.8067,                 2.0598,                 2.8887,               0.001208,               0.001208,               0.001208
                     10,                 1.4796,                0.92287,                 1.1835,                0.34258,                0.52325,                0.22957,                0.08097,                 2.7579,                 3.3563,                 2.9156,               0.001109,               0.001109,               0.001109
                     11,                 1.4049,                0.92259,                 1.1943,                0.63873,                0.47805,                0.48875,                0.18612,                 2.9037,                 2.3962,                 2.9165,                0.00101,                0.00101,                0.00101
                     12,                 1.4014,                 0.8532,                 1.1818,                0.66961,                0.51305,                0.51848,                0.17668,                 2.7908,                 1.9313,                 2.7691,               0.000911,               0.000911,               0.000911
                     13,                 1.3392,                0.80678,                 1.1726,                 0.7357,                 0.5102,                0.55726,                0.19937,                  2.849,                 2.0855,                 2.7566,               0.000812,               0.000812,               0.000812
                     14,                 1.3573,                0.80275,                 1.1668,                0.68925,                0.51631,                 0.5098,                0.18485,                 2.7927,                 2.0294,                  2.747,               0.000713,               0.000713,               0.000713
                     15,                 1.3465,                0.78293,                 1.1629,                0.70809,                0.51244,                0.56123,                0.19834,                  2.753,                 2.0179,                 2.7035,               0.000614,               0.000614,               0.000614
                     16,                 1.3305,                0.75197,                 1.1525,                 0.7077,                0.52569,                0.55431,                0.19808,                  2.807,                  2.054,                 2.7166,               0.000515,               0.000515,               0.000515
                     17,                 1.2971,                0.72049,                   1.14,                0.75248,                0.50734,                 0.5749,                 0.2008,                 2.8367,                 2.0269,                 2.7062,               0.000416,               0.000416,               0.000416
                     18,                 1.3005,                0.70923,                 1.1336,                0.71445,                0.48367,                0.54497,                0.20264,                 2.8546,                 2.2118,                 2.6826,               0.000317,               0.000317,               0.000317
                     19,                 1.2786,                0.68676,                 1.1335,                0.71151,                0.50775,                0.53963,                0.18696,                 2.8041,                 2.1464,                 2.7178,               0.000218,               0.000218,               0.000218
                     20,                 1.2581,                0.68652,                  1.115,                0.76025,                0.50565,                0.56939,                0.20458,                 2.8114,                 2.0787,                 2.6978,               0.000119,               0.000119,               0.000119
