                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5482,                 3.8188,                 3.0105,                  4e-05,                0.00041,                  2e-05,                      0,                 4.9688,                 4.6507,                 4.2106,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.0494,                 1.4781,                 1.6338,                0.56677,                0.40987,                0.40521,                0.10589,                 3.1795,                 3.1401,                 3.7491,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8711,                  1.283,                  1.437,                0.56614,                0.45392,                0.44323,                0.15843,                 2.9611,                 3.4771,                 3.0546,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.6951,                 1.1753,                 1.3213,                0.66865,                0.44372,                0.46857,                0.14544,                 3.0461,                 2.2247,                 2.8672,               0.001703,               0.001703,               0.001703
                      5,                 1.6527,                 1.0521,                 1.2826,                0.49953,                 0.3699,                0.36484,                0.10693,                 3.0936,                 2.5037,                 2.8704,               0.001604,               0.001604,               0.001604
                      6,                 1.5771,                 0.9689,                 1.2378,                 0.6523,                0.41599,                0.45686,                  0.171,                 3.0219,                  2.665,                 2.7855,               0.001505,               0.001505,               0.001505
                      7,                 1.5267,                0.88848,                 1.2127,                0.62182,                0.42513,                0.46096,                0.17829,                 3.0015,                 2.5337,                 2.7316,               0.001406,               0.001406,               0.001406
                      8,                 1.5079,                0.87437,                 1.2043,                0.70999,                0.51794,                0.57081,                0.20251,                 2.9062,                 2.1669,                  2.795,               0.001307,               0.001307,               0.001307
                      9,                 1.4796,                0.80804,                 1.1636,                0.63269,                0.38132,                0.42249,                0.17845,                 3.0538,                 2.6875,                 2.8598,               0.001208,               0.001208,               0.001208
                     10,                 1.4742,                0.79757,                 1.1772,                0.61256,                0.44657,                0.47877,                 0.1771,                 2.9795,                 2.2485,                 2.9764,               0.001109,               0.001109,               0.001109
                     11,                 1.3922,                0.76826,                 1.1824,                0.62433,                0.45962,                0.46217,                0.17517,                 2.9932,                 2.6862,                  2.933,                0.00101,                0.00101,                0.00101
                     12,                 1.3905,                0.76113,                 1.1907,                0.53613,                0.30179,                0.33383,                0.12868,                 3.1577,                  3.193,                 2.8633,               0.000911,               0.000911,               0.000911
                     13,                 1.3389,                0.69915,                 1.1576,                0.66531,                0.47268,                0.51188,                0.17868,                 3.0359,                 2.2553,                 2.8832,               0.000812,               0.000812,               0.000812
                     14,                 1.3103,                0.68376,                 1.1455,                0.56836,                0.38336,                0.42065,                0.16672,                 3.0772,                 2.6757,                  2.902,               0.000713,               0.000713,               0.000713
                     15,                 1.2959,                0.65759,                 1.1298,                 0.6554,                0.36909,                0.42852,                0.17411,                 3.0309,                  2.843,                 2.8048,               0.000614,               0.000614,               0.000614
                     16,                 1.2846,                0.64819,                 1.1358,                0.56883,                0.33483,                0.37416,                0.15332,                  3.135,                 2.9686,                 2.8742,               0.000515,               0.000515,               0.000515
                     17,                 1.2816,                0.63442,                 1.1227,                0.65542,                0.43434,                0.50495,                0.20926,                 2.8922,                 2.5698,                 2.7257,               0.000416,               0.000416,               0.000416
                     18,                 1.2536,                0.60942,                 1.1063,                0.61523,                0.39396,                0.43525,                0.17207,                 3.0225,                 2.7114,                 2.8242,               0.000317,               0.000317,               0.000317
                     19,                  1.219,                0.60029,                 1.0913,                0.59311,                0.37806,                0.41738,                0.17048,                 2.9539,                 2.9366,                 2.7324,               0.000218,               0.000218,               0.000218
                     20,                 1.2188,                0.58629,                 1.1014,                 0.5744,                0.40622,                0.44122,                0.17516,                 3.0027,                 2.7247,                 2.8258,               0.000119,               0.000119,               0.000119
