                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5837,                 3.9135,                 3.0698,                  6e-05,                0.00204,                  3e-05,                      0,                 4.9285,                 5.5858,                 4.2682,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.0501,                 1.4938,                 1.6953,                0.37527,                0.26835,                0.20437,                0.05076,                 3.1707,                 3.1387,                 3.2305,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8523,                 1.2394,                 1.4686,                0.54819,                0.40783,                0.40579,                 0.1295,                 3.0272,                 2.4632,                 3.1681,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.6973,                 1.1437,                 1.3489,                0.75113,                0.52806,                0.58741,                0.21086,                  2.815,                 2.1249,                 2.7484,               0.001703,               0.001703,               0.001703
                      5,                 1.6178,                 1.0268,                 1.2856,                0.69202,                0.49062,                0.52923,                0.20103,                  2.792,                 2.2844,                 2.6833,               0.001604,               0.001604,               0.001604
                      6,                 1.5654,                0.93594,                 1.2516,                0.66837,                 0.4192,                0.44991,                0.16707,                 2.9532,                 2.7603,                 2.7247,               0.001505,               0.001505,               0.001505
                      7,                  1.525,                0.88025,                 1.2231,                0.63778,                0.45312,                0.47969,                0.17879,                 2.9075,                 2.4127,                 2.7363,               0.001406,               0.001406,               0.001406
                      8,                 1.5247,                0.87908,                 1.2225,                0.16339,                0.44086,                0.10639,                0.04273,                 2.8896,                 9.5879,                 4.8444,               0.001307,               0.001307,               0.001307
                      9,                 1.4623,                0.80938,                 1.1683,                0.53416,                 0.3332,                0.34865,                0.14346,                 3.1097,                 2.8791,                 2.8516,               0.001208,               0.001208,               0.001208
                     10,                   1.43,                0.78513,                 1.1721,                0.65722,                0.43801,                0.48782,                0.17101,                 2.9407,                 2.2357,                 2.8435,               0.001109,               0.001109,               0.001109
                     11,                  1.396,                0.75877,                 1.1911,                0.61384,                0.45922,                0.45891,                0.18147,                 3.0142,                 2.6103,                 2.9287,                0.00101,                0.00101,                0.00101
                     12,                 1.3969,                0.74914,                  1.196,                0.57618,                0.39396,                0.39665,                0.15745,                 3.1233,                 2.7023,                  2.854,               0.000911,               0.000911,               0.000911
                     13,                 1.3509,                0.71732,                   1.17,                0.73753,                0.52716,                0.58793,                0.21687,                 2.8053,                 2.1163,                 2.7437,               0.000812,               0.000812,               0.000812
                     14,                 1.3347,                0.68975,                 1.1584,                0.21521,                0.42659,                 0.1364,                0.04945,                 3.0079,                   4.41,                   2.98,               0.000713,               0.000713,               0.000713
                     15,                 1.3017,                0.65766,                 1.1357,                0.57038,                 0.3752,                0.38957,                0.15182,                 3.0411,                 2.7817,                 2.8007,               0.000614,               0.000614,               0.000614
                     16,                 1.2828,                 0.6503,                 1.1393,                0.27311,                0.37928,                0.16512,                0.06398,                 3.0382,                 3.8379,                 2.8284,               0.000515,               0.000515,               0.000515
                     17,                 1.2577,                0.63422,                 1.1192,                0.28492,                0.43515,                0.19418,                0.07767,                 2.8462,                 3.2262,                 2.7212,               0.000416,               0.000416,               0.000416
                     18,                 1.2599,                0.61032,                 1.1135,                0.64518,                0.39029,                0.44079,                0.17407,                 3.0207,                 2.7851,                 2.7555,               0.000317,               0.000317,               0.000317
                     19,                 1.2142,                0.60313,                 1.0964,                0.64126,                0.39437,                0.43945,                0.18126,                 2.9322,                 2.7838,                 2.6888,               0.000218,               0.000218,               0.000218
                     20,                 1.2131,                0.58582,                 1.1059,                0.57655,                0.41868,                0.42139,                0.16209,                 2.9474,                 2.6575,                 2.7287,               0.000119,               0.000119,               0.000119
