                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7481,                 4.8193,                 3.3367,                  9e-05,                0.01183,                  4e-05,                  1e-05,                 4.9543,                 4.4544,                 4.2162,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.1232,                 1.6728,                 1.7463,                0.52674,                0.37031,                0.31443,                0.08459,                 3.0417,                 2.5657,                 3.1509,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.7956,                 1.2961,                 1.4579,                0.60409,                0.44821,                0.44976,                0.14879,                 2.8953,                 2.4115,                   2.93,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7069,                  1.158,                 1.3299,                0.73367,                0.49103,                0.54194,                0.20189,                 2.7455,                 2.4089,                  2.683,               0.001703,               0.001703,               0.001703
                      5,                 1.6056,                 1.0584,                 1.2805,                0.70335,                0.44963,                0.48896,                0.18292,                 2.8071,                 2.4639,                   2.72,               0.001604,               0.001604,               0.001604
                      6,                 1.5561,                 1.0052,                 1.2385,                0.74721,                0.50693,                0.56559,                0.19037,                 2.9044,                 2.4257,                 3.4416,               0.001505,               0.001505,               0.001505
                      7,                 1.5751,                0.94196,                 1.2304,                0.56141,                0.45799,                0.45352,                0.15938,                 2.8036,                 2.1522,                 2.8391,               0.001406,               0.001406,               0.001406
                      8,                 1.5154,                0.93542,                 1.2286,                0.67487,                0.40334,                0.43894,                0.16808,                 3.0883,                 2.7451,                 2.7975,               0.001307,               0.001307,               0.001307
                      9,                 1.4475,                0.85882,                 1.1865,                0.65663,                0.46615,                0.52101,                0.17909,                 2.9303,                 2.3722,                  2.757,               0.001208,               0.001208,               0.001208
                     10,                 1.4387,                0.82953,                 1.1617,                0.69042,                0.46574,                0.51748,                0.18768,                 2.8798,                 2.4364,                 2.7271,               0.001109,               0.001109,               0.001109
                     11,                  1.391,                0.82807,                 1.1922,                0.66636,                0.49429,                0.53598,                0.18476,                 2.8752,                 2.2104,                 3.0044,                0.00101,                0.00101,                0.00101
                     12,                 1.3864,                0.77025,                 1.1736,                0.60848,                0.40783,                0.45002,                0.17731,                 3.0159,                   2.68,                 2.7565,               0.000911,               0.000911,               0.000911
                     13,                 1.3311,                0.73266,                 1.1699,                0.61533,                0.39192,                0.43041,                0.16836,                 3.0517,                 2.7501,                 2.8333,               0.000812,               0.000812,               0.000812
                     14,                 1.3353,                  0.743,                 1.1613,                0.57549,                0.31688,                0.34493,                0.13839,                 3.2516,                  3.091,                 2.8205,               0.000713,               0.000713,               0.000713
                     15,                 1.3326,                0.72096,                 1.1567,                0.06317,                0.39396,                0.04318,                0.01747,                 2.8886,                 14.601,                 2.9482,               0.000614,               0.000614,               0.000614
                     16,                 1.3088,                0.69497,                 1.1413,                0.68137,                0.40865,                0.47672,                0.17963,                 2.9318,                 2.5584,                 2.7358,               0.000515,               0.000515,               0.000515
                     17,                 1.2715,                0.66239,                 1.1299,                0.64838,                0.42339,                0.48062,                0.17021,                 2.9654,                 2.5202,                 2.7157,               0.000416,               0.000416,               0.000416
                     18,                 1.2697,                0.64825,                  1.119,                0.64741,                0.40498,                0.44338,                0.16932,                 3.0036,                 2.6514,                 2.7273,               0.000317,               0.000317,               0.000317
                     19,                 1.2455,                0.62647,                 1.1163,                0.54238,                0.40049,                0.32012,                0.11746,                 2.8868,                 2.8887,                 2.8335,               0.000218,               0.000218,               0.000218
                     20,                 1.2224,                0.61393,                  1.099,                0.66066,                0.43908,                0.48103,                0.17655,                 2.9712,                 2.5061,                 2.7573,               0.000119,               0.000119,               0.000119
