                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0143,                 5.0797,                 3.4998,                0.00013,                0.01754,                  7e-05,                  1e-05,                 4.9911,                 4.8158,                  4.218,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.2461,                 1.9649,                  1.843,                0.62969,                0.42496,                0.42814,                0.12668,                 3.0494,                 2.4826,                  3.128,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8716,                 1.4813,                 1.5127,                0.12128,                0.49551,                0.08445,                0.03025,                 2.7683,                 4.4608,                 3.1058,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7425,                 1.2811,                 1.3631,                0.74806,                0.49184,                0.53709,                0.18591,                 2.7851,                 2.1755,                 2.7624,               0.001703,               0.001703,               0.001703
                      5,                 1.6686,                 1.1455,                 1.3136,                0.60892,                 0.4478,                0.45199,                0.16931,                  2.803,                 2.3482,                 2.6905,               0.001604,               0.001604,               0.001604
                      6,                 1.6006,                 1.0721,                 1.2643,                0.53971,                0.51672,                0.40383,                0.13785,                 2.8145,                 1.9338,                 2.8278,               0.001505,               0.001505,               0.001505
                      7,                 1.6264,                 1.0168,                 1.2539,                0.73271,                0.53426,                 0.5809,                0.18685,                 2.8095,                 1.8343,                 2.8088,               0.001406,               0.001406,               0.001406
                      8,                 1.5664,                 1.0201,                 1.2544,                0.48018,                0.48695,                0.32256,                0.11022,                 2.8425,                 2.3616,                 2.7982,               0.001307,               0.001307,               0.001307
                      9,                   1.47,                0.94839,                 1.2065,                0.64175,                0.50848,                 0.5053,                0.15011,                 2.8638,                 2.0883,                 2.7833,               0.001208,               0.001208,               0.001208
                     10,                  1.504,                0.91369,                 1.1978,                0.71453,                0.50528,                0.55268,                 0.2021,                 2.8016,                 2.2929,                 2.6633,               0.001109,               0.001109,               0.001109
                     11,                 1.4556,                0.92305,                 1.2278,                0.63164,                0.49233,                0.50338,                0.19353,                 2.8658,                 2.2842,                 2.7081,                0.00101,                0.00101,                0.00101
                     12,                 1.4156,                0.84461,                 1.1943,                0.65625,                0.47806,                0.51027,                0.17924,                 2.9428,                  2.253,                 2.8124,               0.000911,               0.000911,               0.000911
                     13,                 1.3854,                0.80276,                 1.2033,                 0.5681,                0.49674,                 0.4221,                0.15389,                 2.8471,                 2.2479,                 2.8306,               0.000812,               0.000812,               0.000812
                     14,                 1.3792,                0.81971,                 1.1842,                0.66661,                0.48654,                0.51717,                0.19199,                 2.9004,                 2.2063,                   2.74,               0.000713,               0.000713,               0.000713
                     15,                 1.3838,                 0.7801,                  1.185,                0.68741,                0.50581,                0.51108,                0.18289,                 2.8417,                 2.1504,                 2.7447,               0.000614,               0.000614,               0.000614
                     16,                 1.3482,                0.76112,                 1.1643,                0.63936,                0.49598,                0.47393,                0.17128,                 2.9337,                 2.3384,                 2.7572,               0.000515,               0.000515,               0.000515
                     17,                 1.3244,                0.73805,                 1.1622,                0.68626,                0.47725,                0.49961,                0.17582,                 2.9354,                 2.3048,                 2.7243,               0.000416,               0.000416,               0.000416
                     18,                 1.3291,                0.72569,                 1.1487,                0.60759,                0.44576,                0.45016,                0.16751,                 2.9571,                 2.4479,                 2.7609,               0.000317,               0.000317,               0.000317
                     19,                 1.3168,                0.69948,                 1.1562,                0.62965,                0.48817,                0.49063,                0.18261,                 2.8939,                 2.2924,                 2.7584,               0.000218,               0.000218,               0.000218
                     20,                 1.2764,                 0.6811,                 1.1311,                  0.649,                0.46656,                0.49622,                0.18719,                 2.9383,                 2.3511,                 2.7617,               0.000119,               0.000119,               0.000119
