                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.884,                 4.5911,                 3.3399,                0.00013,                0.01754,                  7e-05,                  2e-05,                 5.0045,                 6.3737,                 4.2356,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.1733,                 1.8614,                  1.756,                0.60552,                0.43133,                0.44087,                0.14069,                 3.0171,                 2.7496,                 3.2151,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8509,                 1.4538,                 1.4754,                0.64607,                0.43312,                 0.4415,                0.15565,                  2.932,                 2.7392,                 2.9679,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.6941,                 1.2668,                 1.3358,                0.63357,                0.50856,                0.52834,                 0.1627,                 2.9676,                  2.251,                 3.0341,               0.001703,               0.001703,               0.001703
                      5,                 1.6421,                 1.1454,                 1.2788,                0.75456,                0.51346,                 0.5849,                0.20434,                 2.8242,                 1.9029,                 2.7591,               0.001604,               0.001604,               0.001604
                      6,                 1.5708,                 1.0516,                 1.2496,                 0.7623,                 0.5102,                0.56596,                  0.206,                 2.8047,                 2.2752,                 2.6349,               0.001505,               0.001505,               0.001505
                      7,                 1.5659,                0.98931,                  1.237,                 0.6496,                0.55798,                0.57272,                0.17545,                 2.8467,                 1.8341,                 2.8351,               0.001406,               0.001406,               0.001406
                      8,                 1.5357,                0.95251,                 1.2222,                0.72109,                0.51876,                0.55074,                0.21451,                 2.7787,                 2.2293,                 2.6578,               0.001307,               0.001307,               0.001307
                      9,                 1.5064,                0.91534,                 1.1808,                0.70345,                0.47404,                0.51276,                0.19394,                 2.7526,                 2.5812,                 2.6616,               0.001208,               0.001208,               0.001208
                     10,                 1.4705,                 0.8884,                 1.1828,                0.62317,                0.47757,                0.49887,                0.17049,                 2.8879,                 2.1812,                 2.7985,               0.001109,               0.001109,               0.001109
                     11,                 1.4371,                0.87763,                 1.2056,                0.74693,                0.51794,                0.57249,                0.19957,                 2.9038,                 2.1056,                 2.9071,                0.00101,                0.00101,                0.00101
                     12,                 1.4319,                0.83876,                  1.214,                0.68783,                 0.4637,                0.52506,                0.19499,                 2.9109,                  2.275,                 2.7375,               0.000911,               0.000911,               0.000911
                     13,                  1.385,                0.80749,                 1.1881,                0.73778,                0.55506,                0.61055,                 0.2224,                 2.8155,                 2.1583,                 2.6286,               0.000812,               0.000812,               0.000812
                     14,                 1.3549,                0.79318,                 1.1761,                0.68388,                0.50856,                0.56021,                0.18701,                 2.8819,                 2.0462,                 2.7835,               0.000713,               0.000713,               0.000713
                     15,                  1.348,                0.74708,                 1.1545,                0.62893,                0.50326,                0.54925,                0.20694,                 2.8048,                 2.0316,                  2.765,               0.000614,               0.000614,               0.000614
                     16,                 1.3404,                  0.732,                 1.1607,                0.70098,                0.49047,                0.54559,                0.19768,                 2.8974,                 2.3339,                  2.679,               0.000515,               0.000515,               0.000515
                     17,                 1.3089,                0.71524,                 1.1412,                0.67746,                0.49427,                0.55681,                0.20338,                 2.8131,                 2.2437,                 2.6416,               0.000416,               0.000416,               0.000416
                     18,                 1.3072,                0.68398,                 1.1319,                0.66753,                0.46574,                0.51813,                0.19713,                 2.8903,                 2.3587,                 2.6678,               0.000317,               0.000317,               0.000317
                     19,                  1.278,                0.67982,                 1.1206,                0.72842,                0.49021,                0.57356,                0.21127,                 2.7995,                 2.2373,                  2.628,               0.000218,               0.000218,               0.000218
                     20,                 1.2685,                0.67157,                 1.1304,                0.69813,                 0.4686,                0.54098,                0.19825,                 2.8551,                  2.216,                 2.6716,               0.000119,               0.000119,               0.000119
